,GTEX-1B8KZ-0226-SM-7EWF6,GTEX-1AYD5-0226-SM-79ONV,GTEX-1AMFI-0926-SM-731E4,GTEX-1A3MV-0126-SM-731FQ,GTEX-1AX9K-0226-SM-793CM
chr5:80101602-80107399,225,120,162,173,217
chr5:80257226-80257946,77,444,165,152,332
chr5:80884201-80885801,90,95,236,67,123
chr5:80886000-80886200,34,25,33,57,0
chr5:80903401-80905400,113,51,127,103,29
chr5:80916601-80916800,37,0,3,0,23
chr5:80917601-80917999,0,25,49,18,28
chr5:80920969-80921339,46,56,124,0,52
chr5:81315001-81316000,22,0,10,20,18
chr5:81398602-81399600,34,137,71,16,83
chr5:81399801-81400800,34,2,19,33,16
chr5:82395801-82398400,0,18,59,56,0
chr5:82404402-82407599,67,15,105,21,19
chr5:82416556-82423400,10,50,60,0,34
chr5:83033802-83037599,0,50,38,103,18
chr5:83583201-83585000,778,319,668,687,2049
chr5:87260527-87264999,0,0,56,18,16
chr5:90421001-90421401,19,0,15,0,14
chr5:91350801-91351862,0,0,18,14,17
chr5:91357201-91358000,22,34,19,10,37
chr5:91359801-91361000,8,0,19,61,19
chr5:93614210-93614554,38,9,53,26,20
chr5:97067201-97067800,22,9,0,20,0
chr5:97076201-97076800,0,18,9,10,0
chr5:97077202-97083400,120,30,354,277,123
chr5:97979801-97981000,0,0,19,40,8
chr5:97986001-97986590,18,48,75,6,27
chr5:98816801-98817200,22,2,0,20,37
chr5:98827211-98828400,0,23,0,48,8
chr5:99004201-99005983,34,0,20,92,102
chr5:100364401-100365600,16,0,19,0,16
chr5:100600201-100601000,29,0,0,20,84
chr5:100757001-100759000,14,36,27,21,0
chr5:100904318-100904792,139,283,128,128,368
chr5:100906601-100907000,22,5,114,10,12
chr5:100910201-100911000,39,59,10,0,56
chr5:102749001-102751400,0,8,18,9,0
chr5:103279401-103282599,14,19,0,39,39
chr5:107025401-107027000,21,37,0,41,37
chr5:107359001-107368999,44,194,241,40,49
chr5:107675201-107676401,73,18,1,0,0
chr5:108718601-108718800,11,0,28,10,2
chr5:108732001-108732600,0,18,12,16,0
chr5:109328601-109330399,148,245,505,244,388
chr5:109330801-109331000,0,22,12,23,16
chr5:109413568-109413861,15,22,10,21,26
chr5:109413936-109414183,11,15,9,14,9
chr5:109960201-109964000,0,0,38,41,52
chr5:112519602-112525600,448,781,801,1157,352
chr5:112526801-112527400,170,532,422,612,203
chr5:112527601-112527800,192,217,145,154,103
chr5:112528402-112536199,11203,12825,3718,10030,3894
chr5:112551377-112552063,22,61,19,55,9
chr5:112933401-112935200,21,26,153,70,47
chr5:113598001-113598200,0,36,7,0,9
chr5:113598401-113599600,46,99,35,21,0
chr5:113601001-113601200,15,9,0,0,10
chr5:115189602-115190999,66,117,145,75,153
chr5:115557002-115560599,16,17,0,58,35
chr5:115564802-115565999,68,42,86,157,64
chr5:115571401-115573401,0,160,33,81,9
chr5:115574201-115576799,925,1702,829,1104,1444
chr5:115577388-115577800,190,115,191,164,174
chr5:115947977-115949000,0,0,18,34,37
chr5:116436202-116442800,19,88,58,0,0
chr5:116613602-116614799,105,18,19,8,8
chr5:116628801-116630399,57,74,209,95,183
chr5:116650802-116655999,0,18,39,56,58
chr5:116686201-116686800,22,1,0,10,0
chr5:116702802-116705599,25,61,64,83,38
chr5:116706201-116706400,0,0,31,20,25
chr5:118789401-118789800,4,0,19,12,8
chr5:118792801-118793800,59,36,19,19,0
chr5:118795401-118796600,0,8,32,0,19
chr5:118829831-118830133,28,19,11,0,4
chr5:119255401-119256463,17,50,33,20,0
chr5:119257177-119257508,29,0,0,18,16
chr5:119401802-119407199,80,39,151,205,114
chr5:119407401-119408200,22,37,38,0,0
chr5:119409161-119409600,45,16,11,22,14
chr5:122093001-122095599,0,6,39,21,0
chr5:122098402-122099799,0,18,8,0,8
chr5:122840001-122841000,64,0,59,40,9
chr5:122842083-122842236,11,0,6,7,3
chr5:124595802-124600999,62,18,19,0,58
chr5:126855001-126855800,0,355,67,41,95
chr5:126857002-126858799,0,122,0,19,11
chr5:127038401-127039000,78,119,80,136,102
chr5:127563001-127563600,0,18,0,20,5
chr5:128197002-128200381,40,57,0,18,54
chr5:131228401-131230801,420,172,204,71,179
chr5:131239202-131240599,108,18,87,113,19
chr5:131242202-131244000,234,74,166,44,0
chr5:131403664-131403833,0,0,9,25,19
chr5:131413402-131417723,653,473,131,158,259
chr5:132684600-132685200,11,0,28,6,38
chr5:133923802-133928599,107,321,280,97,65
chr5:134038202-134045599,88,9,56,40,0
chr5:134058601-134060199,0,19,18,0,9
chr5:134086867-134087253,6,33,20,0,0
chr5:134097132-134097508,53,0,128,31,0
chr5:134100068-134100798,60,27,28,88,9
chr5:134101724-134101832,11,0,17,10,0
chr5:134420382-134420686,6,7,9,0,1
chr5:135012602-135015399,0,17,10,53,3
chr5:136021493-136021788,0,24,9,21,0
chr5:137792001-137792200,15,14,36,39,0
chr5:138233801-138234000,0,6,4,0,2
chr5:138549278-138549800,43,84,37,29,115
chr5:138552401-138553000,82,97,65,122,139
chr5:138938400-138939400,103,158,77,81,95
chr5:138942260-138942555,154,248,176,187,199
chr5:138943601-138945200,378,463,594,610,257
chr5:139386553-139386729,48,92,64,209,9
chr5:139632401-139632600,17,1,24,38,36
chr5:139636151-139636533,5,5,14,31,37
chr5:139637238-139637956,49,86,19,36,57
chr5:139638117-139639080,144,91,25,26,95
chr5:139641324-139641680,0,11,9,8,0
chr5:139757802-139761000,23,38,36,0,0
chr5:140140402-140142599,0,18,19,20,0
chr5:140154401-140154600,0,9,32,10,0
chr5:140611319-140611588,12,0,0,13,26
chr5:140621001-140621200,8,0,1,15,14
chr5:140621401-140621600,13,54,29,11,30
chr5:140622401-140626599,25,153,48,39,31
chr5:141849080-141850136,0,2,0,50,18
chr5:141852401-141852600,42,86,17,0,118
chr5:141915601-141917200,11,0,10,15,19
chr5:141918977-141920599,12,0,22,19,0
chr5:142051602-142054999,0,16,12,0,38
chr5:142056602-142059599,0,18,19,0,74
chr5:142072601-142072800,2,0,0,4,11
chr5:142082001-142082599,19,96,0,25,75
chr5:142087802-142090000,13,88,246,128,0
chr5:142092402-142099599,43,0,237,68,44
chr5:142155802-142158000,141,93,304,433,216
chr5:142160601-142161600,366,107,188,277,385
chr5:142164401-142165000,127,140,215,0,156
chr5:142169201-142171199,107,60,38,21,92
chr5:142174802-142176599,0,17,18,0,76
chr5:142196001-142198400,0,2,9,3,0
chr5:142245002-142247399,32,49,18,48,47
chr5:142248729-142249800,0,0,10,10,9
chr5:142286402-142289199,0,37,17,0,17
chr5:142290001-142291800,0,8,18,0,17
chr5:142293002-142299999,20,136,89,57,69
chr5:142762001-142763400,23,34,0,20,0
chr5:143241602-143246800,0,75,33,63,77
chr5:143248402-143250599,0,18,55,62,38
chr5:143251601-143253200,90,17,0,0,43
chr5:143254331-143254700,24,16,0,10,42
chr5:143258401-143259121,0,18,0,20,18
chr5:148446801-148447200,0,18,59,63,0
chr5:148763201-148770000,132,0,34,101,33
chr5:148836801-148837000,0,37,21,36,14
chr5:148837202-148858199,7039,6748,4753,3793,8128
chr5:148858402-148861799,55,0,38,41,0
chr5:148864001-148864832,124,205,39,99,119
chr5:148868201-148869000,64,200,77,23,108
chr5:148873202-148875599,1658,1786,722,566,1802
chr5:148877001-148878600,320,773,238,173,637
chr5:148880401-148881000,43,84,43,110,131
chr5:148882201-148883000,16,293,138,122,196
chr5:148898401-148898801,61,50,46,0,30
chr5:148900001-148900200,27,0,11,51,12
chr5:149438202-149441399,4,35,0,82,0
chr5:149462801-149467200,111,0,0,17,16
chr5:149491601-149491800,11,0,36,23,6
chr5:150559002-150561799,62,54,476,0,237
chr5:150566601-150568600,0,17,96,5,0
chr5:150687601-150689000,0,44,80,26,0
chr5:150703401-150704600,158,217,674,534,376
chr5:150707217-150707572,22,61,95,76,31
chr5:150764594-150764933,0,12,15,0,12
chr5:150770801-150771800,152,65,50,21,18
chr5:150773402-150774800,64,22,37,20,75
chr5:150776001-150776200,0,9,4,16,29
chr5:151003201-151008999,0,14,59,0,72
chr5:151095377-151095825,18,56,198,347,74
chr5:151097945-151098401,67,100,253,252,67
chr5:151164002-151165400,644,463,610,524,667
chr5:151169001-151169800,2285,2183,971,1244,1961
chr5:151170001-151173000,3290,3078,2014,1992,3165
chr5:151580802-151582577,58,19,20,16,37
chr5:151585400-151585800,0,14,8,0,18
chr5:151632002-151634199,39,58,30,0,27
chr5:151728504-151728895,68,35,147,33,57
chr5:151732601-151732800,99,250,148,120,173
chr5:151735601-151736000,65,63,141,168,172
chr5:151740355-151740682,45,72,68,56,28
chr5:151818401-151818800,18,0,19,5,0
chr5:151820601-151821001,0,8,12,12,0
chr5:151947601-151948303,17,0,14,15,6
chr5:154696202-154697999,107,87,29,19,13
chr5:154882001-154882800,117,74,30,81,66
chr5:154885001-154886000,16,0,209,12,0
chr5:156798801-156804799,0,109,0,65,22
chr5:156892174-156894199,69,51,77,19,58
chr5:156911601-156911800,11,0,34,20,9
chr5:156981002-156982800,8,4,0,0,51
chr5:157024202-157027199,296,401,495,244,598
chr5:157072201-157072401,0,6,0,6,1
chr5:157073201-157073400,25,11,11,0,0
chr5:157074601-157078000,45,37,38,18,72
chr5:157710202-157711999,0,28,18,9,17
chr5:157717201-157719199,8,109,20,40,44
chr5:158312401-158315000,38,79,0,74,74
chr5:159974402-159976094,22,0,103,114,78
chr5:159981202-159982600,0,18,81,182,244
chr5:159992227-159992391,45,34,129,156,540
chr5:160240401-160240847,0,0,44,18,34
chr5:160243801-160244601,0,0,38,62,129
chr5:160245401-160246877,30,0,58,94,94
chr5:170200801-170201800,2,18,44,20,0
chr5:170217774-170217974,22,9,0,0,2
chr5:170218802-170226599,58,161,158,84,146
chr5:171797201-171798000,22,37,53,14,33
chr5:171835001-171835200,5,12,39,12,0
chr5:171845201-171846599,152,270,8,113,73
chr5:171847002-171849199,3,144,114,71,96
chr5:171850002-171858621,38,178,120,58,75
chr5:172034602-172036000,0,18,39,17,120
chr5:172206001-172208400,68,128,42,42,167
chr5:172291801-172293934,16,25,18,28,55
chr5:172794137-172794533,0,0,19,11,18
chr5:172795245-172795803,5,25,0,0,93
chr5:172799774-172800706,30,0,18,20,34
chr5:172805845-172806144,21,0,5,0,86
chr5:172807133-172807641,53,71,34,14,44
chr5:172953660-172954064,16,65,45,76,98
chr5:172973401-172974000,3,8,0,10,0
chr5:173036157-173036422,63,27,22,6,18
chr5:173045201-173045801,22,16,9,20,38
chr5:173201587-173203400,0,0,34,9,56
chr5:173296401-173299648,29,0,37,0,56
chr5:173302500-173302728,0,0,19,10,11
chr5:173309602-173311799,0,13,19,0,19
chr5:173590201-173591400,0,36,25,21,16
chr5:173601401-173603399,20,36,0,0,17
chr5:173624202-173630199,0,29,0,40,22
chr5:173659601-173661200,45,17,0,69,0
chr5:173819602-173827400,35,0,69,63,19
chr5:173838601-173843200,0,33,29,93,0
chr5:173963978-173964239,0,0,7,10,14
chr5:176440402-176442799,0,17,0,42,44
chr5:176522002-176524600,0,0,36,21,22
chr5:176903385-176903674,29,28,5,10,56
chr5:177083801-177084400,11,18,19,0,18
chr5:177317801-177318800,227,382,495,930,253
chr5:177319202-177322199,1242,1357,1277,2113,1171
chr5:177323402-177324400,56,43,133,198,155
chr5:177481522-177482200,79,31,0,43,122
chr5:177482721-177482864,21,15,9,2,24
chr5:177676801-177678199,0,17,12,38,13
chr5:177984002-177985600,23,124,10,82,65
chr5:178667002-178669400,104,87,253,404,1479
chr5:179349001-179349600,0,0,66,50,62
chr5:179355601-179357600,23,99,178,201,821
chr5:179543402-179547399,245,150,2008,54,34
chr5:179612622-179613400,342,74,220,204,173
chr5:179669802-179672199,175,175,176,149,254
chr5:179674801-179675801,510,457,230,206,393
chr5:179779189-179779407,43,72,54,22,21
chr5:179785601-179787200,203,257,453,380,219
chr5:180470402-180472999,89,382,108,63,0
chr5:180844601-180845400,1640,2182,1155,920,1036
chr5:181008001-181008400,11,34,9,0,15
chr5:181036201-181038000,21,39,25,19,2
chr5:181107666-181108241,3,1,1,0,0
chr5:181286001-181287200,23,26,57,19,41
chr5:181287801-181288800,22,0,110,61,56
chr4:50716-51009,110,34,56,29,12
chr4:207802-209400,40,595,174,247,311
chr4:263454-263784,10,9,46,103,80
chr4:689893-690233,0,3,7,31,97
chr4:692601-692801,0,11,13,28,0
chr4:694001-695400,0,17,28,20,38
chr4:698402-701399,44,54,38,20,78
chr4:1345297-1345683,100,166,105,38,117
chr4:1345804-1346471,142,157,96,118,274
chr4:1571801-1573200,23,15,0,39,40
chr4:1614802-1617000,148,139,41,101,82
chr4:1789201-1790600,0,68,0,20,57
chr4:1856678-1857265,0,42,64,22,28
chr4:1865401-1867000,0,37,0,39,25
chr4:2734201-2735400,43,7,105,55,2
chr4:3276978-3277420,22,11,0,43,7
chr4:3291866-3292447,22,30,0,9,8
chr4:3549802-3560200,77,50,119,42,38
chr4:3561401-3562600,19,33,0,0,34
chr4:3645201-3646200,0,0,150,104,18
chr4:3703001-3704200,0,8,82,0,19
chr4:3707201-3711600,65,166,912,137,401
chr4:3753201-3755399,0,37,293,209,101
chr4:3765207-3765606,0,29,237,107,53
chr4:4800801-4801600,0,0,19,20,18
chr4:5020601-5021000,21,5,57,0,0
chr4:6310601-6311000,17,18,32,0,0
chr4:6565601-6567000,23,124,19,55,0
chr4:6625801-6626000,37,16,0,40,19
chr4:6630801-6631200,29,18,0,0,3
chr4:6632602-6634600,23,143,114,100,74
chr4:7160002-7160600,0,17,0,18,28
chr4:7160801-7162000,50,0,93,21,20
chr4:7945801-7946600,43,10,19,32,0
chr4:7948801-7949400,22,35,0,0,18
chr4:7955402-7957799,943,2285,683,713,1299
chr4:7958201-7958400,88,362,181,150,190
chr4:7958602-7961999,981,2817,1235,950,2117
chr4:7963200-7964000,56,262,260,258,241
chr4:8359601-8360221,320,585,589,674,342
chr4:8528601-8529237,0,9,4,20,0
chr4:8532001-8532799,0,18,29,0,18
chr4:9540001-9542399,0,32,18,0,5
chr4:9718202-9719399,23,0,0,1,19
chr4:10060202-10061600,161,117,122,57,255
chr4:10062802-10064599,134,63,116,48,195
chr4:10371401-10372401,0,18,19,25,0
chr4:10413802-10417199,20,16,0,18,0
chr4:10432201-10432600,22,9,9,22,0
chr4:10701202-10705199,23,0,55,59,0
chr4:11480669-11481107,45,14,19,0,0
chr4:11492802-11498614,26,21,73,15,0
chr4:12852256-12853199,11,0,38,56,28
chr4:12954182-12955800,0,37,78,55,91
chr4:13268001-13269800,0,37,0,12,38
chr4:13294801-13295412,42,30,48,87,28
chr4:13519401-13519600,14,0,11,41,0
chr4:13522244-13523234,0,1,57,21,0
chr4:14254800-14255800,13,17,19,19,0
chr4:14268801-14272600,261,231,72,154,18
chr4:14276802-14278200,41,0,24,55,0
chr4:14293201-14294200,218,143,186,221,18
chr4:14308202-14310399,0,93,19,50,10
chr4:14321801-14322200,0,18,16,41,18
chr4:15450001-15453199,62,85,20,60,95
chr4:15455001-15458200,0,0,8,17,19
chr4:15466001-15467000,0,0,38,16,37
chr4:15756334-15756652,0,2,0,10,19
chr4:15762001-15762200,0,4,0,11,85
chr4:15770401-15770600,140,37,44,92,38
chr4:15770801-15772000,447,560,749,578,647
chr4:15772201-15773800,263,440,675,556,655
chr4:15773966-15774706,232,306,313,340,554
chr4:15861174-15861999,45,66,75,67,0
chr4:15868916-15869266,17,16,0,10,0
chr4:17093514-17096407,17,63,0,0,75
chr4:17447025-17449098,65,17,0,39,75
chr4:20248001-20248776,0,0,18,21,43
chr4:20623601-20626600,13,14,3,16,0
chr4:20687835-20688400,8,13,0,43,47
chr4:24510002-24512400,61,67,100,61,86
chr4:24990001-24992400,0,17,15,19,0
chr4:25104402-25105399,0,36,50,20,0
chr4:25107800-25108201,0,28,38,13,14
chr4:25112800-25113800,20,18,10,19,18
chr4:25114401-25115000,0,7,17,0,18
chr4:25290401-25291200,137,66,124,72,63
chr4:25421401-25423200,0,8,38,0,17
chr4:25424601-25425801,23,8,9,0,0
chr4:25441401-25442000,0,14,44,28,15
chr4:25448002-25451199,43,0,16,0,7
chr4:25455802-25458399,23,18,0,0,19
chr4:25467001-25468400,23,25,23,5,0
chr4:25481201-25482400,0,10,38,8,16
chr4:25484001-25485400,12,42,12,0,48
chr4:25485602-25487199,0,1,67,67,25
chr4:25523202-25525600,0,17,6,16,38
chr4:25937402-25939800,21,14,9,13,0
chr4:26127000-26128201,0,0,38,17,8
chr4:26148401-26152011,21,26,4,19,0
chr4:26440801-26441401,0,71,23,61,42
chr4:26762601-26767800,412,487,284,204,473
chr4:26779202-26783199,831,773,1154,879,773
chr4:26784201-26785200,95,118,232,129,136
chr4:26792401-26793200,26,18,13,0,0
chr4:26802839-26804000,76,104,38,142,113
chr4:26805401-26806800,39,11,19,0,0
chr4:26807001-26808000,0,46,0,6,28
chr4:26837871-26840399,0,126,86,72,56
chr4:26842401-26843600,16,119,177,66,85
chr4:26849001-26851400,46,55,76,0,0
chr4:31148601-31149800,41,0,19,21,19
chr4:31151201-31151400,24,6,0,10,21
chr4:35918401-35919200,11,9,19,0,0
chr4:37779601-37782200,70,0,0,21,126
chr4:37877401-37883270,123,50,246,143,197
chr4:37884602-37887000,46,35,131,101,164
chr4:37889894-37890300,56,35,8,60,23
chr4:38141802-38144799,40,18,19,57,18
chr4:38703202-38705000,0,17,38,36,8
chr4:38717402-38718599,44,27,38,40,29
chr4:38723202-38724999,8,0,4,0,17
chr4:38728152-38729599,106,28,77,60,90
chr4:38730202-38731800,0,9,0,21,27
chr4:38734401-38735800,43,17,19,19,17
chr4:38765537-38765648,0,53,5,9,8
chr4:38768001-38770723,89,308,114,59,61
chr4:38785424-38785743,217,398,384,146,739
chr4:38948202-38950599,7,0,0,19,56
chr4:39495330-39496209,18,18,1,0,18
chr4:39819001-39821399,43,125,155,22,17
chr4:40170401-40171000,11,30,67,100,0
chr4:40171602-40174399,247,170,277,125,118
chr4:40178601-40179400,22,7,124,58,9
chr4:40180328-40180672,45,0,9,61,0
chr4:40183952-40184243,38,17,69,11,43
chr4:40185144-40185281,22,10,60,46,39
chr4:40186254-40186364,5,6,48,23,80
chr4:40281001-40286400,24,13,13,58,20
chr4:40287801-40293599,112,91,14,86,152
chr4:40681602-40688799,53,0,0,29,35
chr4:40728202-40735799,22,37,38,20,9
chr4:41969601-41970200,208,152,106,105,56
chr4:41976601-41978400,0,6,180,48,224
chr4:42104401-42104600,0,10,15,0,2
chr4:42719202-42723999,0,17,12,19,0
chr4:47445347-47445743,0,0,28,20,9
chr4:48285602-48286221,68,18,0,0,6
chr4:48296400-48296601,23,28,36,66,28
chr4:48329002-48335401,316,654,333,312,487
chr4:48340778-48340960,7,31,30,3,30
chr4:48429201-48430400,0,5,19,14,8
chr4:48431002-48432199,10,16,28,0,37
chr4:48473201-48473600,11,49,13,8,16
chr4:48801202-48802999,0,317,18,114,0
chr4:52554202-52555799,0,0,20,21,19
chr4:52572800-52574600,0,15,0,14,29
chr4:52585401-52586400,22,15,92,48,72
chr4:52666585-52666667,37,83,52,77,40
chr4:55906601-55908200,23,124,83,0,127
chr4:55920201-55921613,42,108,0,19,38
chr4:55925201-55926000,196,383,91,85,264
chr4:55926201-55928001,350,631,508,247,249
chr4:55928337-55928427,18,13,28,8,7
chr4:55929108-55929600,352,459,331,124,198
chr4:55930602-55931200,106,284,220,94,131
chr4:55931601-55931800,20,64,48,10,11
chr4:56337001-56337400,44,79,9,7,18
chr4:62940001-62941600,23,15,14,0,41
chr4:69707732-69708799,22,0,73,10,123
chr4:69712802-69715000,32,50,69,41,197
chr4:69717801-69719799,353,250,488,635,1415
chr4:70811567-70811857,16,17,39,23,2
chr4:70843152-70843405,0,22,17,14,21
chr4:70844201-70844600,13,22,0,0,14
chr4:70849001-70850000,44,36,53,61,37
chr4:70853202-70854200,11,35,39,55,0
chr4:70865401-70865800,4,0,8,3,0
chr4:70891401-70893399,0,21,20,5,19
chr4:71031801-71033400,170,169,120,89,115
chr4:74042002-74045200,90,35,56,108,171
chr4:74065001-74065400,0,18,0,20,11
chr4:74335001-74336800,0,0,16,19,17
chr4:75470401-75470600,5,5,0,16,1
chr4:75474601-75475000,17,0,7,24,93
chr4:76943088-76944233,293,809,319,510,339
chr4:76944401-76944600,87,69,7,24,32
chr4:77042802-77045400,58,189,95,137,129
chr4:77092202-77094200,65,119,116,65,164
chr4:77095001-77096000,119,92,50,40,203
chr4:77097201-77101400,37,117,85,85,57
chr4:77103601-77105800,42,24,39,0,65
chr4:77122001-77129399,0,18,18,10,0
chr4:77144801-77149000,25,0,21,45,20
chr4:77618583-77619799,21,0,49,18,7
chr4:77653001-77653600,33,13,44,0,0
chr4:77707001-77707400,1,45,15,34,60
chr4:77710201-77710800,0,32,9,48,18
chr4:78616120-78616496,0,0,3,1,9
chr4:78621402-78623199,0,113,176,61,184
chr4:78624001-78625399,0,132,145,41,351
chr4:78733640-78740600,239,16,0,56,78
chr4:78771401-78772599,91,16,0,9,178
chr4:79893401-79894200,52,106,37,41,0
chr4:82228801-82231800,67,62,22,0,18
chr4:82462249-82463000,0,0,19,39,37
chr4:82469800-82470266,0,0,12,8,28
chr4:82475801-82476200,0,0,24,53,16
chr4:82801982-82804400,115,52,36,151,105
chr4:82811401-82812799,33,30,81,62,26
chr4:83137601-83142800,342,588,495,565,337
chr4:83145001-83146600,16,0,0,19,37
chr4:83148601-83155600,73,17,106,104,17
chr4:83170601-83175600,44,109,69,40,124
chr4:83175801-83178400,81,9,39,42,38
chr4:83178801-83181400,27,0,26,49,45
chr4:83190437-83190825,11,16,38,98,32
chr4:83191001-83191400,22,17,28,33,42
chr4:83251291-83251386,11,25,9,31,2
chr4:84527201-84528000,20,15,3,31,0
chr4:84660401-84661200,20,46,19,19,52
chr4:84661401-84661601,0,7,13,19,30
chr4:84666202-84667600,0,0,65,38,78
chr4:86855002-86858042,45,14,19,20,30
chr4:87147001-87147400,31,0,18,19,35
chr4:87152401-87153000,99,58,39,122,212
chr4:87153698-87153938,0,15,0,25,21
chr4:87868201-87873199,14,54,0,0,31
chr4:88446001-88446800,0,55,38,58,49
chr4:88447201-88448000,0,51,73,107,9
chr4:88456083-88456412,124,365,685,319,272
chr4:89121970-89124799,21,17,86,119,38
chr4:89129601-89129800,8,0,13,0,9
chr4:89134686-89135418,83,32,57,3,37
chr4:89136001-89137200,0,11,12,21,59
chr4:89317056-89317332,43,0,10,10,0
chr4:94669801-94671068,32,64,0,41,64
chr4:98150801-98152000,0,0,51,16,41
chr4:98176401-98177600,23,0,13,0,56
chr4:98179201-98180200,67,52,134,82,37
chr4:98203757-98204080,7,2,3,0,0
chr4:98672602-98673600,41,7,29,6,13
chr4:98681202-98690799,28,35,0,0,23
chr4:98778602-98780800,0,37,8,41,0
chr4:99382601-99384600,0,19,0,40,19
chr4:101017602-101022799,0,18,6,21,19
chr4:102076801-102077000,252,215,181,110,119
chr4:102787201-102788400,380,333,271,379,227
chr4:102788601-102788800,12,80,103,71,59
chr4:102789002-102791000,583,348,760,738,559
chr4:105143282-105143647,0,16,77,134,50
chr4:105350401-105351599,23,55,18,0,0
chr4:105352601-105353600,34,0,0,6,14
chr4:106034400-106035200,22,9,90,20,33
chr4:106353401-106354200,0,48,15,0,37
chr4:107817401-107819600,79,16,58,41,241
chr4:108043002-108046200,52,77,101,256,123
chr4:108332201-108332800,36,12,54,61,34
chr4:108365601-108365800,13,0,9,9,0
chr4:108526802-108537200,15,12,238,282,142
chr4:108643402-108645016,21,21,0,57,18
chr4:108682002-108683400,194,250,76,212,122
chr4:108700023-108701600,0,0,34,96,5
chr4:108702202-108703600,46,18,0,39,0
chr4:109547001-109550200,43,54,20,82,0
chr4:112451401-112452200,22,47,32,41,71
chr4:112453002-112453600,0,103,24,14,17
chr4:112672201-112672800,0,18,16,22,0
chr4:113404201-113405600,20,27,58,20,0
chr4:113406202-113407200,0,20,15,6,0
chr4:113447868-113447999,14,2,6,10,10
chr4:114727201-114728000,0,0,135,95,11
chr4:114728600-114728801,0,29,56,39,0
chr4:114729201-114729800,0,37,45,11,0
chr4:114734601-114735400,21,20,19,48,0
chr4:117783801-117784200,0,9,13,7,0
chr4:118032706-118033118,20,0,2,0,14
chr4:118720109-118720471,22,0,15,43,37
chr4:118841401-118843000,14,153,97,134,93
chr4:118846401-118846600,0,8,0,6,9
chr4:119080201-119081600,23,98,39,24,38
chr4:119081801-119082399,34,21,0,4,0
chr4:119098802-119107399,180,491,21,58,161
chr4:119116601-119119399,0,92,56,68,10
chr4:119123401-119126800,0,70,38,101,38
chr4:119128243-119128600,0,17,0,20,9
chr4:119131401-119132000,45,48,33,0,0
chr4:119313001-119314200,7,33,9,0,163
chr4:119401801-119403399,71,35,109,19,19
chr4:120052601-120054600,0,17,20,43,0
chr4:121031201-121031800,23,18,17,0,32
chr4:121129601-121130600,179,227,128,150,44
chr4:121252179-121258200,54,7,38,24,14
chr4:122710262-122711200,75,26,16,0,0
chr4:123406801-123407347,108,123,95,65,273
chr4:123408001-123410400,71,35,167,19,149
chr4:124565380-124566400,0,34,0,20,47
chr4:124639602-124643599,0,14,40,0,34
chr4:125496801-125497000,2,26,7,0,9
chr4:127846001-127846600,30,18,0,8,0
chr4:127870401-127871799,48,120,32,41,94
chr4:128224601-128225600,34,45,0,0,18
chr4:128291001-128291800,129,171,360,155,52
chr4:128558601-128560400,21,0,38,19,0
chr4:128578401-128579000,0,0,16,25,38
chr4:128688473-128691000,0,0,32,17,75
chr4:132528201-132528400,36,1,2,1,0
chr4:139233802-139235000,0,11,0,26,37
chr4:139481402-139481999,0,95,19,20,135
chr4:139483601-139485404,0,61,107,19,146
chr4:139663401-139663800,22,9,0,0,28
chr4:140759801-140760400,75,13,120,20,18
chr4:140767201-140767400,19,0,29,40,0
chr4:140769001-140770000,22,0,19,17,18
chr4:141293802-141296000,141,13,125,32,65
chr4:141486201-141487400,0,11,28,0,19
chr4:141633201-141633400,15,0,60,19,32
chr4:145195001-145196199,7,4,28,9,0
chr4:146029002-146030999,32,36,261,62,0
chr4:146032401-146033631,0,18,114,41,0
chr4:146049402-146050599,0,18,272,82,19
chr4:146051001-146051801,11,18,187,96,0
chr4:146058402-146060999,132,66,436,116,0
chr4:146210401-146211199,27,51,289,93,187
chr4:146525801-146526400,99,265,36,215,166
chr4:151403201-151405000,21,46,34,12,0
chr4:152138201-152139200,0,0,38,78,18
chr4:152254601-152260599,0,36,22,81,0
chr4:152273400-152274800,0,18,19,13,0
chr4:152281002-152282399,23,127,26,39,27
chr4:152284000-152284401,0,66,33,10,2
chr4:152304001-152304600,0,12,19,20,0
chr4:152540462-152540707,9,10,0,10,4
chr4:152544401-152545399,22,0,12,104,43
chr4:152554229-152554476,35,70,8,22,38
chr4:152563201-152563800,17,9,19,0,0
chr4:152588601-152589265,97,258,63,106,107
chr4:152591402-152591620,29,163,52,49,5
chr4:152595202-152596118,160,108,52,110,109
chr4:152604802-152607999,330,288,357,182,167
chr4:152608201-152610600,46,172,140,133,65
chr4:152610801-152611000,11,0,13,10,11
chr4:152615601-152616000,22,61,36,26,18
chr4:152763601-152764400,59,69,44,18,18
chr4:152995002-152998999,0,87,55,70,0
chr4:153418202-153420199,29,19,0,21,19
chr4:153763514-153766800,0,0,58,40,36
chr4:156010201-156010600,29,18,1,53,16
chr4:158260402-158261999,21,31,52,21,189
chr4:158262201-158262400,17,0,0,13,18
chr4:159390002-159391999,11,0,0,21,19
chr4:163448800-163449001,0,32,39,0,20
chr4:163481202-163486400,70,6,13,0,32
chr4:165502786-165504599,13,13,0,0,18
chr4:169275001-169275799,0,37,19,20,0
chr4:169724201-169724601,110,101,85,89,104
chr4:173056202-173058999,75,30,113,30,83
